667	1730	1367	504	757	794	603	889	21	1	4	1	1	0
692	1698	1383	524	791	800	595	871	21	1	4	1	1	0
644	1611	1341	481	759	739	583	847	21	1	4	1	1	0
555	1506	1268	397	686	628	580	820	21	1	4	1	1	0
466	1388	1179	308	588	500	573	779	21	1	4	1	1	0
387	1295	1080	224	501	408	556	764	21	1	4	1	1	0
338	1225	1008	168	455	344	549	788	21	1	4	1	1	0
275	1151	952	113	395	237	540	767	21	1	4	1	1	0
224	1082	891	66	333	146	533	740	21	1	4	1	1	0
197	1045	830	43	308	127	529	747	21	1	4	1	1	0
239	1117	865	84	368	195	534	796	21	1	4	1	1	0
291	1181	934	135	418	234	529	777	21	1	4	1	1	0
362	1254	1018	228	510	311	532	756	21	1	4	1	1	0
425	1325	1081	299	594	399	528	745	21	1	4	1	1	0
504	1431	1169	375	680	499	533	763	21	1	4	1	1	0
538	1482	1224	415	714	543	533	741	21	1	4	1	1	0
608	1550	1295	483	776	627	537	732	21	1	4	1	1	0
649	1589	1333	513	807	670	540	723	21	1	4	1	1	0
629	1556	1341	492	765	626	549	710	21	1	4	1	1	0
552	1476	1273	426	675	542	551	702	21	1	4	1	1	0
507	1418	1197	376	615	481	547	718	21	1	4	1	1	0
458	1340	1140	323	559	392	548	727	21	1	4	1	1	0
385	1246	1092	251	475	283	543	704	21	1	4	1	1	0
359	1202	1057	227	430	234	546	729	21	1	4	1	1	0
315	1117	988	183	383	146	550	744	21	1	4	1	1	0
279	1032	953	147	341	69	554	741	21	1	4	1	1	0
269	1022	946	151	343	81	547	739	21	1	4	1	1	0
343	1115	996	241	468	201	552	797	21	1	4	1	1	0
409	1181	1028	324	578	290	549	817	21	1	4	1	1	0
494	1249	1094	410	663	373	543	820	21	1	4	1	1	0
560	1276	1139	472	717	447	540	811	21	1	4	1	1	0
635	1323	1175	547	811	559	550	840	21	1	4	1	1	0
704	1396	1200	617	900	665	547	867	21	1	4	1	1	0
776	1458	1231	702	977	759	544	885	21	1	4	1	1	0
761	1392	1198	695	961	743	541	881	21	1	4	1	1	0
695	1305	1123	632	905	684	542	889	21	1	4	1	1	0
616	1244	1028	559	842	619	541	904	21	1	4	1	1	0
565	1169	957	503	757	540	536	890	21	1	4	1	1	0
514	1089	892	435	681	453	534	886	21	1	4	1	1	0
458	1010	832	366	615	361	531	884	21	1	4	1	1	0
427	948	784	334	571	306	535	900	21	1	4	1	1	0
392	879	724	287	514	250	523	891	21	1	4	1	1	0
416	885	734	306	522	241	522	889	21	1	4	1	1	0
454	906	774	340	558	253	520	873	21	1	4	1	1	0
541	973	860	401	642	334	521	884	21	1	4	1	1	0
590	1048	926	444	718	396	520	884	21	1	4	1	1	0
648	1152	1012	517	814	477	518	889	21	1	4	1	1	0
683	1206	1045	551	867	535	500	877	21	1	4	1	1	0
733	1250	1102	583	917	586	498	874	21	1	4	1	1	0
764	1296	1156	628	963	633	506	856	21	1	4	1	1	0
775	1328	1166	658	1004	676	504	859	21	1	4	1	1	0
740	1278	1108	617	967	631	498	859	21	1	4	1	1	0
678	1203	1027	555	910	560	506	874	21	1	4	1	1	0
625	1147	940	500	860	514	506	904	21	1	4	1	1	0
580	1103	865	455	798	460	501	918	21	1	4	1	1	0
530	975	814	401	719	375	501	912	21	1	4	1	1	0
474	795	760	345	633	267	499	872	21	1	4	1	1	0
433	779	692	311	597	225	509	884	21	1	4	1	1	0
413	843	653	293	580	235	510	921	21	1	4	1	1	0
476	869	723	358	641	294	515	959	21	1	4	1	1	0
558	837	792	437	703	334	517	933	21	1	4	1	1	0
664	912	852	537	796	434	524	943	21	1	4	1	1	0
734	1004	893	596	873	530	521	967	21	1	4	1	1	0
819	1063	972	682	961	643	531	988	21	1	4	1	1	0
871	1067	1016	734	1005	733	532	984	21	1	4	1	1	0
958	1118	1076	799	1075	835	532	1003	21	1	4	1	1	0
993	1125	1088	823	1112	857	537	1006	21	1	4	1	1	0
956	1023	1056	780	1072	796	531	991	21	1	4	1	1	0
882	906	972	698	994	708	514	983	21	1	4	1	1	0
816	824	880	627	936	624	507	975	21	1	4	1	1	0
759	721	808	566	863	521	513	969	21	1	4	1	1	0
696	635	740	495	790	431	506	965	21	1	4	1	1	0
